Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Pass_Fail
20.0,F,High School,40000.0,A,83.0,Low,13.0,Engineering,Private,High,Medium,No,High,Low,Low,Neutral,High,97.0,Yes,9.0,Balanced,Low,10.0,Yes,Positive,Yes,Yes,Visual,No,Yes,High,5.0,Medium,Pass
19.0,M,Graduate,30000.0,A,88.0,Medium,12.0,Science,Private,Medium,Medium,No,Medium,Medium,Medium,Neutral,Low,44.0,Yes,6.0,Unhealthy,Medium,4.0,No,Positive,No,No,Kinesthetic,No,Yes,Low,5.0,Low,Fail
21.0,M,High School,30000.0,B,87.0,Low,16.0,Engineering,Private,High,High,No,High,High,Medium,Negative,Medium,50.0,Yes,4.0,Balanced,Low,6.0,Yes,Positive,No,No,Kinesthetic,No,Yes,Medium,4.0,High,Pass
21.0,F,Some College,50000.0,A,95.0,Low,15.0,Business,Public,Medium,High,No,Medium,Low,Low,Neutral,Low,34.0,Yes,8.0,Healthy,Low,3.0,Yes,Negative,Yes,No,Visual,Yes,Yes,Medium,2.0,Low,Pass
18.0,F,Some College,75000.0,B,76.0,High,12.0,Engineering,Public,High,High,No,Medium,Medium,Medium,Negative,High,87.0,Yes,9.0,Unhealthy,High,4.0,No,Positive,No,Yes,Visual,No,No,Low,6.0,High,Pass
22.0,F,Some College,50000.0,A,91.0,Medium,15.0,Arts,Public,High,Low,Yes,High,Low,High,Positive,Medium,37.0,No,9.0,Balanced,High,10.0,No,Positive,No,No,Visual,Yes,Yes,Low,1.0,Low,Pass
20.0,F,Graduate,40000.0,C,77.0,Medium,16.0,Science,Public,Medium,High,No,High,High,High,Neutral,Low,53.0,Yes,5.0,Balanced,High,10.0,Yes,Positive,No,Yes,Auditory,No,No,Medium,5.0,High,Fail
20.0,M,College,40000.0,C,85.0,High,11.0,Arts,Public,Medium,Medium,Yes,Low,High,Low,Negative,Low,59.0,No,9.0,Healthy,High,6.0,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,1.0,Low,Pass
19.0,F,High School,50000.0,C,85.0,Low,17.0,Engineering,Public,Medium,Low,Yes,Medium,High,Low,Neutral,Medium,55.0,Yes,9.0,Balanced,High,6.0,No,Neutral,No,No,Visual,No,No,Medium,3.0,Low,Pass
18.0,F,High School,40000.0,B,79.0,High,12.0,Business,Private,Low,Medium,No,High,High,Low,Negative,Low,29.0,No,4.0,Balanced,High,7.0,No,Neutral,No,No,Auditory,Yes,Yes,Low,1.0,Low,Pass
22.0,M,Graduate,40000.0,A,73.0,Low,9.0,Business,Public,High,Low,Yes,Low,Low,Medium,Neutral,High,39.0,Yes,4.0,Healthy,High,4.0,No,Negative,Yes,No,Visual,No,No,High,3.0,Medium,Pass
20.0,F,High School,40000.0,B,74.0,Medium,5.0,Engineering,Public,Low,Low,Yes,Medium,Low,Medium,Negative,Medium,29.0,No,9.0,Unhealthy,High,6.0,No,Negative,Yes,Yes,Kinesthetic,Yes,Yes,Medium,5.0,Medium,Fail
21.0,M,Some College,30000.0,C,97.0,Medium,15.0,Arts,Public,Medium,Medium,Yes,High,High,Low,Negative,High,61.0,No,6.0,Healthy,Low,7.0,No,Positive,Yes,No,Auditory,Yes,Yes,Medium,1.0,Low,Pass
18.0,F,High School,30000.0,B,81.0,High,18.0,Arts,Private,High,High,Yes,Medium,Low,Medium,Neutral,Medium,76.0,Yes,8.0,Balanced,High,5.0,No,Neutral,No,No,Visual,Yes,Yes,High,1.0,Medium,Pass
20.0,M,Some College,40000.0,B,92.0,Medium,15.0,Business,Public,Medium,Medium,No,Low,Medium,Low,Positive,Medium,21.0,Yes,9.0,Balanced,Low,10.0,No,Neutral,No,No,Visual,Yes,No,Low,3.0,Low,Fail
18.0,F,High School,30000.0,B,82.0,High,19.0,Arts,Private,Low,Medium,Yes,Medium,Low,Low,Neutral,High,30.0,Yes,4.0,Unhealthy,High,9.0,No,Negative,Yes,No,Kinesthetic,Yes,Yes,Medium,3.0,Low,Pass
21.0,M,College,40000.0,C,84.0,Low,11.0,Engineering,Public,High,High,No,Low,High,Medium,Negative,High,22.0,No,9.0,Unhealthy,Medium,5.0,Yes,Negative,No,Yes,Auditory,No,No,Low,6.0,Low,Pass
18.0,M,High School,40000.0,A,81.0,Medium,5.0,Arts,Private,High,Low,Yes,High,Low,Medium,Negative,Low,57.0,No,8.0,Unhealthy,High,2.0,Yes,Neutral,No,Yes,Visual,No,No,Low,1.0,Low,Fail
20.0,F,Some College,75000.0,C,81.0,High,19.0,Law,Public,High,Medium,No,Medium,High,Low,Neutral,High,71.0,No,8.0,Healthy,High,4.0,Yes,Negative,No,No,Visual,No,No,Low,1.0,Low,Pass
19.0,M,High School,75000.0,B,85.0,High,17.0,Science,Public,High,High,Yes,Medium,Low,Medium,Neutral,High,63.0,Yes,9.0,Balanced,High,6.0,Yes,Negative,Yes,No,Kinesthetic,Yes,Yes,High,2.0,Medium,Pass
19.0,F,Some College,30000.0,B,73.0,Medium,20.0,Law,Public,Low,High,Yes,High,Low,High,Neutral,Low,77.0,Yes,7.0,Unhealthy,Medium,3.0,Yes,Negative,No,Yes,Auditory,Yes,Yes,Medium,3.0,Medium,Pass
22.0,F,Graduate,40000.0,B,82.0,Medium,8.0,Law,Private,Low,Low,No,Medium,High,Low,Negative,Low,41.0,No,4.0,Balanced,High,2.0,No,Negative,Yes,No,Visual,Yes,Yes,High,4.0,High,Pass
21.0,F,College,75000.0,B,78.0,Medium,18.0,Medicine,Public,Low,Low,No,Medium,Low,Low,Positive,Medium,84.0,No,9.0,Healthy,Low,3.0,Yes,Neutral,Yes,No,Visual,No,Yes,High,4.0,Low,Pass
22.0,F,High School,30000.0,B,90.0,Medium,15.0,Business,Private,High,Low,No,Medium,Low,Low,Negative,Low,72.0,Yes,8.0,Unhealthy,High,8.0,Yes,Negative,No,Yes,Visual,No,Yes,High,1.0,Medium,Fail
20.0,M,Some College,60000.0,C,70.0,Medium,9.0,Engineering,Public,High,High,Yes,High,High,Medium,Neutral,Low,98.0,No,5.0,Balanced,High,2.0,Yes,Positive,Yes,Yes,Auditory,Yes,Yes,High,3.0,Low,Fail
20.0,F,Some College,75000.0,A,89.0,Medium,8.0,Arts,Public,Low,Low,No,Low,High,High,Neutral,High,34.0,No,4.0,Healthy,Low,10.0,Yes,Negative,Yes,No,Auditory,No,Yes,Medium,3.0,Medium,Pass
19.0,M,Some College,75000.0,A,97.0,Medium,12.0,Arts,Private,High,Low,No,Low,Medium,Low,Neutral,Low,82.0,Yes,4.0,Unhealthy,Low,10.0,Yes,Negative,Yes,Yes,Visual,Yes,Yes,Medium,4.0,Low,Fail
22.0,F,College,50000.0,C,81.0,Medium,6.0,Science,Public,Medium,Medium,Yes,High,Low,High,Neutral,Low,57.0,Yes,5.0,Healthy,High,3.0,Yes,Negative,No,Yes,Visual,Yes,No,Low,5.0,Medium,Fail
19.0,F,College,50000.0,A,100.0,High,11.0,Engineering,Private,Low,High,Yes,Low,High,Low,Positive,Low,61.0,Yes,9.0,Balanced,Medium,2.0,Yes,Neutral,Yes,No,Auditory,Yes,No,Medium,2.0,Low,Pass
22.0,M,Some College,75000.0,C,91.0,Medium,7.0,Medicine,Private,High,Low,Yes,Medium,High,High,Negative,Low,38.0,Yes,7.0,Healthy,Medium,8.0,No,Neutral,No,No,Visual,No,No,High,3.0,Low,Pass
19.0,F,Some College,30000.0,C,86.0,High,8.0,Business,Public,Medium,Low,Yes,Medium,Medium,Low,Negative,High,38.0,Yes,5.0,Unhealthy,Medium,7.0,No,Neutral,No,Yes,Visual,No,Yes,Low,2.0,Medium,Pass
19.0,M,High School,75000.0,C,71.0,Medium,17.0,Arts,Private,Medium,High,Yes,Low,Low,High,Negative,Low,78.0,Yes,6.0,Balanced,Low,6.0,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,Low,6.0,Low,Fail
22.0,F,College,40000.0,B,85.0,Low,13.0,Law,Public,High,Medium,Yes,High,High,Low,Positive,High,23.0,Yes,8.0,Balanced,High,7.0,Yes,Negative,No,No,Visual,No,Yes,Low,3.0,High,Fail
20.0,F,Some College,60000.0,A,99.0,High,19.0,Science,Public,High,High,Yes,High,Low,Low,Neutral,Low,38.0,No,4.0,Balanced,Medium,10.0,Yes,Positive,Yes,Yes,Auditory,Yes,Yes,High,1.0,Low,Pass
21.0,F,College,60000.0,A,80.0,Medium,17.0,Engineering,Private,Medium,Low,Yes,Medium,Low,Medium,Neutral,Medium,63.0,No,7.0,Balanced,Medium,7.0,Yes,Neutral,No,Yes,Kinesthetic,Yes,Yes,High,6.0,Low,Fail
22.0,F,High School,60000.0,A,84.0,Medium,20.0,Law,Private,High,Low,No,Medium,High,Low,Positive,Medium,51.0,Yes,5.0,Balanced,Medium,8.0,Yes,Negative,Yes,Yes,Visual,Yes,Yes,High,2.0,High,Pass
21.0,M,Graduate,50000.0,A,88.0,Medium,10.0,Medicine,Private,Medium,Low,No,High,High,Low,Positive,Medium,46.0,Yes,4.0,Healthy,High,3.0,No,Neutral,No,No,Kinesthetic,No,No,Low,6.0,Low,Pass
20.0,F,Some College,75000.0,B,84.0,Medium,16.0,Medicine,Public,High,High,No,Medium,High,Low,Neutral,Low,81.0,No,9.0,Healthy,Medium,10.0,No,Neutral,Yes,No,Kinesthetic,Yes,No,High,6.0,High,Pass
21.0,F,College,30000.0,B,98.0,High,8.0,Arts,Private,High,Low,No,High,High,Low,Positive,High,61.0,Yes,8.0,Unhealthy,High,5.0,No,Neutral,No,Yes,Kinesthetic,Yes,No,High,3.0,High,Fail
19.0,M,College,75000.0,C,94.0,Low,14.0,Arts,Private,Medium,Low,Yes,High,Low,Low,Neutral,Low,85.0,Yes,7.0,Healthy,Low,8.0,Yes,Negative,No,No,Visual,No,No,Medium,5.0,Low,Fail
19.0,M,High School,40000.0,C,85.0,Low,14.0,Arts,Public,Low,High,No,Low,High,High,Positive,Medium,37.0,Yes,7.0,Balanced,High,4.0,No,Negative,Yes,Yes,Auditory,Yes,No,Low,2.0,Low,Pass
21.0,F,High School,40000.0,B,92.0,High,12.0,Business,Public,Low,Low,Yes,Medium,Low,Medium,Positive,Medium,49.0,Yes,7.0,Unhealthy,Medium,5.0,No,Negative,No,No,Visual,Yes,Yes,Low,5.0,Low,Pass
19.0,M,College,30000.0,C,98.0,Medium,7.0,Science,Private,Low,Low,Yes,High,High,Low,Positive,Medium,57.0,No,9.0,Balanced,High,9.0,Yes,Neutral,No,Yes,Visual,Yes,Yes,Medium,4.0,Medium,Pass
20.0,F,Graduate,75000.0,B,88.0,Low,12.0,Engineering,Private,Low,Medium,Yes,Medium,Low,Medium,Negative,Medium,35.0,No,8.0,Balanced,Low,9.0,Yes,Neutral,Yes,No,Visual,No,No,Medium,4.0,High,Pass
18.0,F,College,60000.0,B,86.0,High,10.0,Medicine,Private,High,Medium,Yes,High,Medium,Low,Negative,Medium,71.0,Yes,9.0,Healthy,Medium,5.0,Yes,Negative,No,Yes,Auditory,Yes,Yes,Medium,3.0,Medium,Fail
22.0,F,High School,50000.0,A,77.0,Low,7.0,Arts,Private,Low,Low,No,Medium,Low,High,Neutral,Medium,90.0,Yes,4.0,Healthy,Low,10.0,Yes,Negative,No,No,Visual,No,Yes,Medium,5.0,Low,Pass
18.0,F,High School,75000.0,A,85.0,Medium,11.0,Business,Public,Low,High,Yes,Low,Low,Low,Neutral,Low,46.0,Yes,4.0,Unhealthy,Medium,3.0,Yes,Neutral,No,No,Visual,No,Yes,High,3.0,Medium,Fail
22.0,M,College,30000.0,C,77.0,High,19.0,Engineering,Public,Medium,Low,No,Low,Medium,Low,Neutral,High,47.0,Yes,9.0,Healthy,Low,7.0,No,Neutral,No,No,Visual,Yes,Yes,High,5.0,Low,Pass
22.0,F,Some College,60000.0,A,85.0,Medium,13.0,Business,Private,Medium,Medium,No,Medium,Medium,Medium,Negative,Low,96.0,Yes,7.0,Unhealthy,Medium,9.0,Yes,Positive,Yes,Yes,Kinesthetic,Yes,No,High,6.0,High,Fail
21.0,M,High School,40000.0,C,90.0,Medium,18.0,Engineering,Private,Low,Medium,No,Medium,High,Medium,Neutral,Low,82.0,No,7.0,Unhealthy,High,9.0,Yes,Neutral,No,Yes,Visual,Yes,No,High,3.0,Low,Pass
22.0,F,Some College,50000.0,C,85.0,Medium,15.0,Engineering,Public,Low,Medium,No,Low,High,High,Neutral,Low,86.0,Yes,7.0,Unhealthy,High,2.0,No,Neutral,No,Yes,Visual,Yes,Yes,High,3.0,Low,Fail
22.0,M,Graduate,50000.0,B,94.0,Medium,12.0,Arts,Private,Medium,High,No,High,Medium,Medium,Neutral,Medium,51.0,Yes,5.0,Unhealthy,Low,10.0,Yes,Negative,No,No,Kinesthetic,Yes,Yes,Medium,2.0,Medium,Fail
21.0,M,Graduate,50000.0,A,96.0,Low,17.0,Law,Public,Low,Low,Yes,High,Medium,High,Positive,High,61.0,No,9.0,Balanced,High,6.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,Medium,3.0,High,Fail
22.0,F,Graduate,75000.0,A,100.0,Medium,19.0,Arts,Public,High,High,Yes,High,Low,Medium,Negative,Low,45.0,No,5.0,Balanced,High,2.0,No,Negative,Yes,Yes,Visual,Yes,Yes,Medium,4.0,Low,Pass
21.0,F,High School,30000.0,A,86.0,High,7.0,Engineering,Private,Medium,High,No,Low,High,Medium,Negative,Low,99.0,No,7.0,Healthy,Medium,4.0,Yes,Positive,Yes,No,Auditory,No,No,High,4.0,Low,Fail
21.0,F,High School,50000.0,C,75.0,Low,18.0,Business,Public,Medium,High,Yes,High,Medium,High,Negative,Low,94.0,Yes,6.0,Healthy,High,3.0,Yes,Positive,No,Yes,Kinesthetic,No,No,High,3.0,Low,Pass
18.0,F,Some College,30000.0,A,95.0,High,11.0,Law,Private,Medium,High,No,Low,High,High,Negative,Medium,98.0,No,5.0,Unhealthy,Low,6.0,Yes,Negative,Yes,Yes,Auditory,No,No,Medium,1.0,High,Fail
19.0,M,Some College,30000.0,A,72.0,Low,11.0,Medicine,Private,Low,Medium,Yes,Low,Medium,Low,Negative,Medium,95.0,No,7.0,Balanced,Low,4.0,Yes,Negative,No,No,Auditory,No,Yes,Low,4.0,High,Pass
18.0,M,Some College,60000.0,C,88.0,Medium,17.0,Law,Private,Low,High,Yes,High,Low,Low,Neutral,Medium,96.0,No,6.0,Unhealthy,Low,9.0,Yes,Neutral,No,Yes,Auditory,Yes,No,High,3.0,High,Fail
20.0,F,Some College,30000.0,A,71.0,High,7.0,Engineering,Public,Low,Medium,Yes,Low,Medium,High,Positive,Low,24.0,No,8.0,Balanced,Medium,6.0,Yes,Positive,No,No,Auditory,No,Yes,High,6.0,High,Pass
19.0,F,College,30000.0,B,81.0,High,15.0,Medicine,Public,Low,High,Yes,High,Low,Medium,Positive,Medium,37.0,Yes,9.0,Balanced,Low,4.0,No,Neutral,Yes,Yes,Auditory,No,Yes,Low,5.0,Medium,Pass
18.0,F,Some College,30000.0,B,83.0,Medium,19.0,Medicine,Public,Low,High,Yes,High,Medium,Medium,Positive,Low,56.0,Yes,9.0,Healthy,Medium,9.0,Yes,Neutral,Yes,No,Kinesthetic,Yes,Yes,Low,6.0,Low,Pass
19.0,F,Some College,60000.0,B,73.0,Low,6.0,Medicine,Public,Low,Low,No,Medium,Low,Low,Negative,High,82.0,Yes,8.0,Unhealthy,High,10.0,Yes,Neutral,No,No,Kinesthetic,Yes,Yes,High,3.0,High,Pass
19.0,F,Graduate,50000.0,C,91.0,Medium,19.0,Science,Private,High,Low,Yes,Low,Low,Low,Positive,Low,94.0,Yes,7.0,Healthy,High,3.0,No,Neutral,Yes,No,Kinesthetic,No,Yes,High,1.0,Low,Pass
18.0,M,College,50000.0,C,100.0,Low,12.0,Medicine,Private,High,Low,No,High,Medium,Medium,Neutral,Medium,48.0,Yes,5.0,Balanced,Low,2.0,No,Negative,Yes,Yes,Auditory,No,No,Low,1.0,Medium,Pass
18.0,F,Graduate,30000.0,C,93.0,Medium,17.0,Engineering,Private,Medium,Low,Yes,Medium,Low,Medium,Neutral,Medium,41.0,No,8.0,Healthy,Medium,3.0,No,Negative,Yes,Yes,Auditory,No,Yes,High,1.0,High,Pass
18.0,F,Graduate,30000.0,B,88.0,Low,9.0,Engineering,Private,Low,Low,No,Low,Low,Medium,Positive,Low,31.0,No,6.0,Healthy,High,5.0,No,Negative,Yes,No,Kinesthetic,No,Yes,High,5.0,Low,Pass
20.0,F,High School,30000.0,C,85.0,Low,14.0,Business,Private,Medium,High,No,High,High,High,Neutral,Low,99.0,No,8.0,Unhealthy,Medium,9.0,Yes,Neutral,Yes,No,Auditory,Yes,No,High,2.0,Medium,Fail
22.0,M,Some College,60000.0,B,98.0,Medium,17.0,Business,Private,High,Medium,No,Medium,High,High,Neutral,Low,20.0,Yes,5.0,Healthy,Low,5.0,No,Negative,No,Yes,Auditory,No,Yes,High,5.0,High,Fail
18.0,M,High School,60000.0,C,87.0,Medium,12.0,Engineering,Public,High,High,No,High,Medium,High,Neutral,Medium,62.0,No,6.0,Unhealthy,Medium,5.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,Yes,Medium,2.0,High,Pass
22.0,M,Graduate,30000.0,C,85.0,Medium,5.0,Arts,Private,High,High,No,High,High,Low,Positive,High,98.0,No,5.0,Unhealthy,Low,2.0,No,Positive,Yes,No,Visual,Yes,No,Low,2.0,High,Pass
21.0,F,High School,30000.0,A,74.0,Medium,12.0,Engineering,Private,Medium,Medium,Yes,High,High,High,Positive,Low,51.0,Yes,7.0,Unhealthy,Medium,4.0,Yes,Neutral,Yes,No,Auditory,No,Yes,Medium,1.0,Low,Pass
22.0,F,College,40000.0,B,71.0,High,18.0,Arts,Private,High,Low,No,High,Medium,Low,Neutral,Low,64.0,Yes,9.0,Balanced,Low,6.0,No,Neutral,Yes,Yes,Kinesthetic,No,Yes,Low,4.0,Medium,Pass
20.0,F,College,40000.0,A,86.0,Low,8.0,Law,Private,Medium,Low,Yes,High,Medium,Low,Positive,Low,100.0,Yes,4.0,Balanced,High,2.0,Yes,Positive,Yes,Yes,Auditory,Yes,Yes,Low,5.0,Medium,Pass
20.0,M,Some College,60000.0,B,94.0,High,7.0,Business,Public,Low,High,Yes,Medium,High,Low,Neutral,High,64.0,Yes,7.0,Balanced,Low,6.0,Yes,Neutral,No,No,Auditory,Yes,Yes,High,6.0,Low,Pass
20.0,M,Graduate,30000.0,B,75.0,High,17.0,Business,Public,High,High,No,Medium,Low,Low,Positive,High,36.0,No,6.0,Healthy,Medium,2.0,Yes,Positive,Yes,No,Auditory,No,No,High,5.0,Low,Pass
22.0,F,Some College,75000.0,C,72.0,High,11.0,Business,Private,High,Low,No,High,Low,Medium,Neutral,High,25.0,Yes,9.0,Unhealthy,High,6.0,No,Neutral,No,No,Auditory,Yes,Yes,Medium,4.0,Low,Fail
19.0,M,Some College,30000.0,B,85.0,Low,14.0,Arts,Public,Low,Low,Yes,Medium,Low,High,Neutral,High,80.0,No,5.0,Balanced,High,6.0,Yes,Neutral,Yes,No,Auditory,No,Yes,Low,5.0,High,Pass
22.0,F,Some College,40000.0,A,85.0,Low,7.0,Medicine,Public,Medium,High,Yes,Low,Low,Medium,Neutral,Low,54.0,Yes,6.0,Healthy,Medium,6.0,Yes,Neutral,No,Yes,Kinesthetic,Yes,No,Medium,6.0,High,Fail
18.0,M,Some College,40000.0,A,85.0,Medium,15.0,Arts,Public,Low,High,No,Medium,High,High,Negative,Low,94.0,Yes,8.0,Balanced,Low,8.0,Yes,Negative,No,No,Visual,No,No,Medium,5.0,Medium,Pass
20.0,M,College,30000.0,B,78.0,High,16.0,Medicine,Public,Low,High,Yes,High,Medium,High,Negative,Medium,45.0,No,7.0,Unhealthy,High,5.0,Yes,Neutral,No,Yes,Auditory,Yes,Yes,High,4.0,Low,Pass
19.0,F,High School,30000.0,C,85.0,Medium,7.0,Arts,Public,Low,High,Yes,High,Medium,Low,Positive,High,60.0,Yes,8.0,Balanced,High,8.0,No,Negative,Yes,Yes,Visual,Yes,Yes,Low,1.0,Low,Fail
19.0,F,High School,50000.0,C,93.0,High,19.0,Engineering,Private,Low,Medium,No,High,Medium,Medium,Neutral,Low,45.0,Yes,6.0,Healthy,Medium,10.0,Yes,Neutral,No,No,Visual,No,Yes,High,4.0,Low,Pass
19.0,M,High School,75000.0,C,80.0,Low,14.0,Business,Private,High,Low,Yes,Medium,Medium,Low,Positive,High,49.0,No,5.0,Healthy,Low,7.0,No,Negative,Yes,No,Kinesthetic,Yes,Yes,High,4.0,High,Fail
20.0,M,Some College,40000.0,B,85.0,Medium,16.0,Arts,Private,Low,Low,No,Low,High,High,Positive,Medium,25.0,Yes,4.0,Balanced,High,7.0,Yes,Neutral,Yes,No,Visual,No,No,Low,2.0,Medium,Fail
19.0,F,High School,50000.0,C,84.0,Low,8.0,Engineering,Public,Low,Medium,No,Medium,Low,Medium,Neutral,Low,100.0,Yes,8.0,Healthy,Low,6.0,Yes,Neutral,No,Yes,Visual,No,No,Medium,3.0,Medium,Pass
19.0,F,Some College,50000.0,C,70.0,Medium,8.0,Arts,Public,Low,High,No,Medium,High,Medium,Neutral,Medium,61.0,No,7.0,Balanced,Low,3.0,Yes,Neutral,Yes,No,Visual,Yes,Yes,High,1.0,High,Pass
19.0,M,College,30000.0,B,95.0,High,16.0,Medicine,Private,Low,High,No,High,High,High,Positive,Low,43.0,No,7.0,Balanced,Medium,5.0,No,Negative,No,No,Auditory,Yes,No,Medium,1.0,Low,Pass
19.0,F,Graduate,50000.0,B,100.0,Low,12.0,Arts,Public,Low,Medium,Yes,Medium,Low,Low,Negative,High,92.0,Yes,8.0,Unhealthy,Low,7.0,No,Negative,No,No,Auditory,No,Yes,High,1.0,Low,Fail
20.0,F,Some College,75000.0,C,100.0,High,14.0,Business,Private,Low,Medium,Yes,Low,Low,Medium,Negative,Medium,39.0,Yes,9.0,Balanced,Medium,7.0,Yes,Positive,No,Yes,Visual,Yes,Yes,Low,3.0,High,Pass
21.0,M,Some College,30000.0,A,85.0,High,10.0,Law,Public,Low,Low,No,Low,Low,Medium,Neutral,High,76.0,No,5.0,Healthy,High,3.0,No,Positive,Yes,Yes,Kinesthetic,Yes,No,Low,2.0,Low,Pass
20.0,M,Some College,30000.0,C,90.0,Medium,17.0,Arts,Public,Medium,High,No,Low,Low,Medium,Neutral,Low,65.0,Yes,9.0,Unhealthy,Low,2.0,Yes,Negative,Yes,No,Visual,Yes,Yes,Low,3.0,Medium,Pass
21.0,F,Graduate,30000.0,B,87.0,High,8.0,Arts,Private,Medium,High,Yes,High,Low,Low,Positive,Low,93.0,Yes,5.0,Healthy,Medium,8.0,Yes,Negative,Yes,No,Kinesthetic,No,No,High,2.0,Low,Fail
22.0,M,Some College,75000.0,A,89.0,Medium,17.0,Business,Private,Medium,Medium,No,High,Medium,High,Positive,Low,48.0,Yes,6.0,Balanced,Medium,10.0,No,Neutral,Yes,No,Auditory,No,No,Medium,1.0,High,Pass
19.0,M,College,30000.0,B,85.0,High,11.0,Arts,Public,Low,Medium,Yes,High,Low,High,Positive,Medium,92.0,Yes,6.0,Unhealthy,Medium,4.0,Yes,Negative,Yes,No,Visual,Yes,Yes,High,3.0,Medium,Pass
20.0,M,Graduate,50000.0,C,71.0,Medium,12.0,Law,Public,Medium,High,Yes,Low,Low,Medium,Positive,High,99.0,No,5.0,Unhealthy,High,2.0,Yes,Negative,Yes,No,Visual,Yes,Yes,High,1.0,Low,Pass
21.0,M,High School,30000.0,C,83.0,High,17.0,Law,Public,Low,Low,Yes,Low,Medium,Low,Negative,Low,90.0,Yes,4.0,Healthy,Medium,6.0,No,Negative,No,No,Auditory,No,Yes,High,5.0,Medium,Pass
19.0,F,College,50000.0,B,70.0,High,15.0,Business,Public,Low,Medium,Yes,High,Medium,Medium,Neutral,Low,95.0,Yes,8.0,Balanced,High,2.0,No,Positive,No,No,Visual,Yes,No,High,3.0,Medium,Pass
19.0,M,College,60000.0,A,94.0,Low,12.0,Law,Public,High,Medium,No,High,Low,Medium,Neutral,High,88.0,No,5.0,Balanced,High,8.0,No,Neutral,No,Yes,Visual,No,Yes,Low,1.0,Low,Pass
18.0,M,High School,50000.0,B,82.0,Medium,11.0,Law,Public,Low,High,Yes,Medium,Medium,Medium,Positive,High,23.0,Yes,8.0,Balanced,Medium,6.0,Yes,Neutral,Yes,No,Auditory,Yes,Yes,Medium,3.0,High,Pass
18.0,M,High School,30000.0,B,76.0,Low,18.0,Law,Public,Low,High,Yes,Low,Medium,Medium,Negative,Medium,87.0,Yes,6.0,Balanced,Low,6.0,Yes,Neutral,Yes,No,Auditory,No,No,Low,2.0,Low,Fail
19.0,F,College,60000.0,B,73.0,Medium,5.0,Business,Private,High,High,Yes,High,High,High,Neutral,Medium,87.0,Yes,7.0,Balanced,High,6.0,No,Positive,Yes,Yes,Auditory,No,Yes,High,1.0,Medium,Pass
20.0,F,Some College,75000.0,A,100.0,High,13.0,Business,Private,Medium,High,No,High,High,Medium,Positive,High,83.0,No,7.0,Balanced,Low,5.0,Yes,Positive,Yes,Yes,Visual,No,Yes,Low,4.0,Medium,Pass
19.0,F,Graduate,40000.0,A,85.0,High,14.0,Science,Public,Low,High,No,Low,Low,Low,Neutral,High,64.0,Yes,9.0,Balanced,Medium,8.0,No,Positive,Yes,Yes,Auditory,No,Yes,Medium,1.0,Low,Pass
19.0,F,Graduate,50000.0,A,74.0,Medium,14.0,Business,Private,Low,Low,No,High,Medium,Medium,Neutral,High,98.0,No,4.0,Balanced,High,7.0,Yes,Positive,No,No,Visual,No,Yes,Low,4.0,High,Pass
18.0,F,College,30000.0,B,87.0,Low,6.0,Medicine,Public,High,High,Yes,Low,Medium,High,Negative,Low,70.0,Yes,7.0,Balanced,High,6.0,No,Negative,Yes,Yes,Visual,No,Yes,High,1.0,Low,Pass
20.0,F,Graduate,75000.0,C,88.0,Medium,11.0,Law,Public,Medium,Medium,Yes,Medium,Medium,High,Neutral,Medium,45.0,Yes,7.0,Balanced,Medium,7.0,Yes,Neutral,No,Yes,Kinesthetic,Yes,No,Medium,6.0,Low,Fail
18.0,F,Graduate,50000.0,B,93.0,Medium,16.0,Medicine,Public,Medium,Low,No,Medium,High,High,Positive,Low,58.0,No,8.0,Unhealthy,High,3.0,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,High,2.0,Low,Pass
19.0,F,High School,30000.0,A,92.0,Low,20.0,Business,Private,Low,Medium,Yes,Medium,Medium,High,Neutral,Low,58.0,No,6.0,Unhealthy,High,8.0,No,Neutral,No,No,Kinesthetic,No,Yes,Low,4.0,Low,Fail
20.0,F,High School,50000.0,A,73.0,High,12.0,Engineering,Private,Medium,Low,No,Low,High,High,Neutral,Medium,93.0,No,7.0,Balanced,Medium,7.0,Yes,Neutral,Yes,No,Kinesthetic,Yes,Yes,Medium,1.0,Medium,Pass
20.0,M,High School,60000.0,A,86.0,High,16.0,Law,Private,High,Medium,Yes,Medium,Medium,High,Neutral,Medium,75.0,No,6.0,Balanced,High,2.0,Yes,Negative,Yes,Yes,Visual,Yes,Yes,Medium,1.0,Low,Pass
21.0,F,Graduate,75000.0,A,85.0,Medium,12.0,Law,Public,Low,Medium,No,Medium,Low,Low,Positive,High,97.0,Yes,6.0,Unhealthy,Medium,6.0,Yes,Neutral,Yes,Yes,Visual,No,No,High,2.0,Low,Fail
